,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Anthony Edwards,Minnesota Timberwolves,33:53,7,16,.438,4,10,.400,2,2,1.000,1,5,6,1,1,0,5,4,20,-16,33:53,.592,.563,.625,.125,3.7,14.2,9.7,7.1,1.4,0.0,22.9,28.9,88,125
1,Patrick Beverley,Minnesota Timberwolves,29:26,1,6,.167,0,2,.000,4,4,1.000,0,2,2,4,0,1,0,3,6,-26,29:26,.387,.167,.333,.667,0.0,6.5,3.7,23.0,0.0,2.8,0.0,11.8,102,129
2,Karl-Anthony Towns,Minnesota Timberwolves,27:58,4,7,.571,0,1,.000,7,8,.875,2,9,11,1,0,2,5,5,15,-21,27:58,.713,.571,.143,1.143,9.0,30.9,21.5,7.4,0.0,5.9,32.2,24.8,103,118
3,D'Angelo Russell,Minnesota Timberwolves,27:36,3,11,.273,2,7,.286,3,4,.750,0,2,2,4,1,0,2,3,11,-26,27:36,.431,.364,.636,.364,0.0,7.0,4.0,28.1,1.7,0.0,13.6,23.9,86,126
4,Jarred Vanderbilt,Minnesota Timberwolves,9:12,0,0,0,0,0,0,1,2,.500,0,2,2,0,0,0,1,2,1,-7,9:12,.568,0,0,0,0.0,20.9,11.9,0.0,0.0,0.0,53.2,9.1,54,125
6,Malik Beasley,Minnesota Timberwolves,22:06,3,6,.500,1,2,.500,0,0,0,0,3,3,0,0,0,2,2,7,-24,22:06,.583,.583,.333,.000,0.0,13.0,7.4,0.0,0.0,0.0,25.0,16.2,78,128
7,Jaden McDaniels,Minnesota Timberwolves,21:06,1,7,.143,0,4,.000,0,0,0,0,1,1,0,0,3,0,2,2,-9,21:06,.143,.143,.571,.000,0.0,4.5,2.6,0.0,0.0,11.8,0.0,14.8,30,124
8,Naz Reid,Minnesota Timberwolves,20:02,2,4,.500,2,3,.667,6,6,1.000,1,6,7,0,0,2,2,3,12,-7,20:02,.904,.750,.750,1.500,6.3,28.8,19.1,0.0,0.0,8.3,23.1,19.3,139,118
9,Jordan McLaughlin,Minnesota Timberwolves,17:22,2,2,1.000,0,0,0,0,0,0,0,4,4,4,0,0,0,1,4,-2,17:22,1.000,1.000,.000,.000,0.0,22.1,12.6,45.2,0.0,0.0,0.0,5.2,214,125
10,Taurean Prince,Minnesota Timberwolves,17:11,4,7,.571,2,4,.500,2,2,1.000,0,2,2,1,2,1,2,2,12,-11,17:11,.761,.714,.571,.286,0.0,11.2,6.3,14.8,5.6,4.8,20.2,25.7,114,113
