,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dorian Finney-Smith,Dallas Mavericks,46:49,6,12,.500,2,7,.286,0,0,0,1,7,8,2,4,0,1,4,14,+12,46:49,.583,.583,.583,.000,2.8,26.6,12.8,5.9,4.3,0.0,7.7,12.7,115,119
1,Reggie Bullock,Dallas Mavericks,44:29,3,6,.500,3,6,.500,3,3,1.000,0,6,6,3,1,0,0,2,12,+2,44:29,.820,.750,1.000,.500,0.0,24.0,10.1,8.6,1.1,0.0,0.0,7.5,173,126
2,Spencer Dinwiddie,Dallas Mavericks,40:47,6,21,.286,2,7,.286,6,7,.857,2,3,5,6,3,0,2,6,20,+8,40:47,.415,.333,.333,.333,6.4,13.1,9.2,20.8,3.7,0.0,7.7,29.3,99,121
3,Jalen Brunson,Dallas Mavericks,35:05,12,22,.545,0,4,.000,7,7,1.000,0,1,1,6,0,0,1,2,31,-1,35:05,.618,.545,.182,.318,0.0,5.1,2.1,33.4,0.0,0.0,3.8,34.1,131,129
4,Dwight Powell,Dallas Mavericks,13:18,0,1,.000,0,1,.000,0,0,0,1,3,4,0,0,0,2,5,0,-11,13:18,.000,.000,1.000,.000,9.8,40.1,22.6,0.0,0.0,0.0,66.7,10.3,32,128
6,Maxi Kleber,Dallas Mavericks,22:20,6,7,.857,4,5,.800,1,2,.500,1,2,3,1,0,0,1,5,17,+10,22:20,1.079,1.143,.714,.286,5.8,15.9,10.1,7.6,0.0,0.0,11.3,18.2,174,129
7,Josh Green,Dallas Mavericks,18:47,4,6,.667,3,5,.600,1,4,.250,0,3,3,6,2,0,0,3,12,+10,18:47,.773,.917,.833,.667,0.0,28.4,12.0,49.8,5.3,0.0,0.0,19.0,170,117
8,Dāvis Bertāns,Dallas Mavericks,13:53,4,7,.571,4,7,.571,3,3,1.000,1,1,2,0,0,1,1,3,15,+6,13:53,.901,.857,1.000,.429,9.3,12.8,10.8,0.0,0.0,8.4,10.7,30.8,150,121
9,Trey Burke,Dallas Mavericks,4:07,0,1,.000,0,0,0,3,3,1.000,0,0,0,0,0,0,0,2,3,+5,4:07,.647,.000,.000,3.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,145,129
10,Sterling Brown,Dallas Mavericks,0:25,0,0,0,0,0,0,2,2,1.000,0,0,0,0,0,0,0,0,2,-1,0:25,1.136,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.9,250,129
11,Frank Ntilikina,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Luka Dončić,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Dallas Mavericks,240,41,83,.494,18,42,.429,26,31,.839,6,26,32,24,10,1,8,32,126,0,240,.652,.602,.506,.373,16.2,96.3,50.0,58.5,10.5,2.4,7.6,100.0,131.9,123.5
0,Donovan Mitchell,Utah Jazz,38:44,10,21,.476,1,8,.125,11,12,.917,0,2,2,6,0,1,2,4,32,+4,38:44,.609,.500,.381,.571,0.0,6.7,3.9,27.9,0.0,3.0,7.1,35.9,121,134
1,Mike Conley,Utah Jazz,35:11,6,14,.429,2,7,.286,7,8,.875,0,2,2,6,2,1,4,5,21,-16,35:11,.599,.500,.500,.571,0.0,7.4,4.3,26.6,2.9,3.3,18.6,30.1,107,127
2,Royce O'Neale,Utah Jazz,31:51,0,0,0,0,0,0,2,2,1.000,1,3,4,1,0,0,2,4,2,-13,31:51,1.136,0,0,0,5.6,12.2,9.4,3.9,0.0,0.0,69.4,4.5,106,135
3,Bojan Bogdanović,Utah Jazz,31:49,8,12,.667,4,7,.571,4,4,1.000,0,6,6,2,0,0,3,5,24,+4,31:49,.872,.833,.583,.333,0.0,24.5,14.1,11.2,0.0,0.0,17.9,25.9,135,133
4,Rudy Gobert,Utah Jazz,29:06,6,6,1.000,0,0,0,3,3,1.000,0,7,7,0,0,1,0,4,15,-16,29:06,1.025,1.000,.000,.500,0.0,31.2,18.0,0.0,0.0,4.0,0.0,12.4,211,129
6,Jordan Clarkson,Utah Jazz,30:10,5,9,.556,1,3,.333,3,3,1.000,0,3,3,2,0,0,1,2,14,0,30:10,.678,.611,.333,.333,0.0,12.9,7.5,10.3,0.0,0.0,8.8,18.5,125,135
7,Danuel House Jr.,Utah Jazz,19:16,1,1,1.000,0,0,0,0,0,0,0,6,6,2,0,0,2,0,2,-3,19:16,1.000,1.000,.000,.000,0.0,40.4,23.4,13.6,0.0,0.0,66.7,7.7,86,131
