,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Donovan Mitchell,Utah Jazz,31:35,4,15,.267,0,7,.000,1,1,1.000,0,2,2,1,1,0,4,1,9,-38,31:35,.291,.267,.467,.067,0.0,6.9,3.4,6.6,1.7,0.0,20.6,29.8,49,117
1,Bojan Bogdanović,Utah Jazz,27:42,0,9,.000,0,5,.000,2,3,.667,1,0,1,1,0,0,2,3,2,-37,27:42,.097,.000,.556,.333,3.9,0.0,1.9,6.0,0.0,0.0,16.2,21.5,26,123
2,Mike Conley,Utah Jazz,27:08,1,6,.167,0,3,.000,2,3,.667,0,1,1,5,0,0,2,5,4,-7,27:08,.273,.167,.500,.500,0.0,4.0,2.0,32.5,0.0,0.0,21.5,16.6,63,121
3,Rudy Gobert,Utah Jazz,26:56,6,7,.857,0,0,0,5,7,.714,4,7,11,0,1,0,1,5,17,-8,26:56,.843,.857,.000,1.000,15.8,28.4,22.0,0.0,2.0,0.0,9.0,19.9,158,108
4,Royce O'Neale,Utah Jazz,22:13,2,6,.333,1,5,.200,0,0,0,0,3,3,1,1,0,1,1,5,-29,22:13,.417,.417,.833,.000,0.0,14.7,7.3,8.8,2.4,0.0,14.3,15.2,75,112
6,Jordan Clarkson,Utah Jazz,32:08,9,15,.600,0,4,.000,2,2,1.000,0,4,4,3,2,0,1,3,20,-17,32:08,.630,.600,.267,.133,0.0,13.6,6.7,28.8,3.3,0.0,5.9,25.4,122,111
7,Danuel House Jr.,Utah Jazz,22:56,2,3,.667,1,1,1.000,3,4,.750,0,4,4,0,0,1,0,1,8,+12,22:56,.840,.833,.333,1.333,0.0,19.0,9.4,0.0,0.0,5.0,0.0,10.0,171,114
8,Juancho Hernangómez,Utah Jazz,18:56,2,6,.333,1,5,.200,0,0,0,1,3,4,0,1,0,2,2,5,+8,18:56,.417,.417,.833,.000,5.6,17.3,11.4,0.0,2.8,0.0,25.0,20.4,66,110
9,Hassan Whiteside,Utah Jazz,13:04,1,4,.250,0,0,0,0,0,0,1,5,6,0,1,1,0,2,2,-18,13:04,.250,.250,.000,.000,8.2,41.7,24.8,0.0,4.1,8.7,0.0,14.8,65,95
10,Eric Paschall,Utah Jazz,8:00,0,2,.000,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,+1,8:00,.000,.000,.000,.000,0.0,27.3,13.5,0.0,0.0,0.0,0.0,12.1,0,113
11,Nickeil Alexander-Walker,Utah Jazz,4:41,2,2,1.000,0,0,0,1,1,1.000,0,1,1,1,1,0,0,0,5,+4,4:41,1.025,1.000,.000,.500,0.0,23.3,11.5,100.0,11.3,0.0,0.0,25.2,209,89
12,Jared Butler,Utah Jazz,4:41,0,2,.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,+4,4:41,.000,.000,.000,.000,0.0,23.3,11.5,0.0,0.0,0.0,0.0,20.7,0,115
13,Rudy Gay,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Utah Jazz,240,29,77,.377,3,30,.100,16,21,.762,7,33,40,12,8,2,13,24,77,0,240,.446,.396,.390,.273,15.6,75.0,44.9,41.4,8.8,4.8,13.1,100.0,85.1,112.7
0,Dorian Finney-Smith,Dallas Mavericks,40:59,4,11,.364,3,7,.429,2,2,1.000,3,2,5,4,1,0,2,3,13,+29,40:59,.547,.500,.636,.182,8.0,5.2,6.6,14.5,1.3,0.0,14.4,15.6,117,89
1,Jalen Brunson,Dallas Mavericks,36:34,9,20,.450,1,7,.143,5,5,1.000,2,3,5,4,1,0,1,2,24,+23,36:34,.541,.475,.350,.250,6.0,8.8,7.4,20.8,1.5,0.0,4.3,29.2,121,87
2,Luka Dončić,Dallas Mavericks,32:46,11,22,.500,3,10,.300,8,12,.667,0,13,13,5,0,1,5,4,33,+32,32:46,.605,.568,.455,.545,0.0,42.3,21.4,35.1,0.0,3.1,15.5,45.4,111,80
3,Reggie Bullock,Dallas Mavericks,30:52,3,9,.333,3,9,.333,0,0,0,1,6,7,2,3,0,0,2,9,+31,30:52,.500,.500,1.000,.000,3.5,20.7,12.2,9.6,5.2,0.0,0.0,13.4,120,77
4,Dwight Powell,Dallas Mavericks,20:23,4,4,1.000,0,0,0,0,0,0,1,3,4,0,0,0,0,2,8,+14,20:23,1.000,1.000,.000,.000,5.4,15.7,10.6,0.0,0.0,0.0,0.0,9.0,203,89
6,Spencer Dinwiddie,Dallas Mavericks,27:56,3,8,.375,2,5,.400,1,2,.500,1,3,4,1,0,0,1,2,9,+1,27:56,.507,.500,.625,.250,3.9,11.5,7.7,5.4,0.0,0.0,10.1,16.3,104,90
7,Maxi Kleber,Dallas Mavericks,20:07,0,1,.000,0,1,.000,0,0,0,1,4,5,0,0,0,0,0,0,+15,20:07,.000,.000,1.000,.000,5.4,21.2,13.4,0.0,0.0,0.0,0.0,2.3,66,88
8,Josh Green,Dallas Mavericks,13:59,0,3,.000,0,3,.000,0,0,0,0,1,1,0,0,0,0,2,0,-9,13:59,.000,.000,1.000,.000,0.0,7.6,3.9,0.0,0.0,0.0,0.0,9.9,0,90
9,Dāvis Bertāns,Dallas Mavericks,6:24,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,-2,6:24,0,0,0,0,17.0,0.0,8.4,0.0,8.3,0.0,0,0.0,227,75
10,Trey Burke,Dallas Mavericks,4:40,2,4,.500,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,4,-4,4:40,.500,.500,.250,.000,0.0,22.9,11.6,0.0,0.0,0.0,0.0,39.5,99,87
