,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,De'Andre Hunter,Atlanta Hawks,42:43,11,21,.524,3,7,.429,10,11,.909,1,10,11,2,3,0,4,6,35,+3,42:43,.677,.595,.333,.524,3.0,30.4,16.5,12.1,3.6,0.0,13.4,31.8,127,99
1,Trae Young,Atlanta Hawks,41:29,2,12,.167,0,5,.000,7,9,.778,2,6,8,6,0,0,7,2,11,-3,41:29,.345,.167,.417,.750,6.1,18.8,12.3,24.2,0.0,0.0,30.5,25.2,70,109
2,Kevin Huerter,Atlanta Hawks,33:14,5,9,.556,2,5,.400,0,0,0,0,1,1,3,2,1,3,3,12,-10,33:14,.667,.667,.556,.000,0.0,3.9,1.9,18.2,3.1,2.8,25.0,16.5,107,103
3,John Collins,Atlanta Hawks,25:38,3,8,.375,0,3,.000,1,1,1.000,1,1,2,0,0,0,1,2,7,-21,25:38,.415,.375,.375,.125,4.9,5.1,5.0,0.0,0.0,0.0,10.6,16.8,87,111
4,Clint Capela,Atlanta Hawks,19:25,1,2,.500,0,0,0,0,0,0,2,6,8,0,1,1,1,2,2,-16,19:25,.500,.500,.000,.000,13.0,40.1,26.4,0.0,2.7,4.8,33.3,7.0,91,96
6,Delon Wright,Atlanta Hawks,31:00,2,6,.333,1,2,.500,2,2,1.000,3,4,7,3,0,0,2,2,7,+9,31:00,.509,.417,.333,.333,12.2,16.7,14.5,16.6,0.0,0.0,22.5,13.1,109,109
7,Onyeka Okongwu,Atlanta Hawks,25:45,2,5,.400,0,0,0,4,5,.800,3,2,5,1,2,0,0,4,8,+12,25:45,.556,.400,.000,1.000,14.7,10.1,12.4,6.8,4.0,0.0,0.0,12.7,142,102
8,Danilo Gallinari,Atlanta Hawks,20:43,5,11,.455,2,3,.667,0,0,0,0,0,0,0,0,0,1,1,12,+11,20:43,.545,.545,.273,.000,0.0,0.0,0.0,0.0,0.0,0.0,8.3,26.4,104,112
9,Timothé Luwawu-Cabarrot,Atlanta Hawks,0:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:03,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,112
10,Kevin Knox,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Gorgui Dieng,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bogdan Bogdanović,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Skylar Mays,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jalen Johnson,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Atlanta Hawks,240,31,74,.419,8,25,.320,24,28,.857,12,30,42,15,8,2,19,22,94,0,240,.544,.473,.338,.378,31.6,81.1,56.0,48.4,8.7,3.9,18.0,100.0,101.6,104.9
0,Bam Adebayo,Miami Heat,41:01,7,11,.636,0,0,0,6,8,.750,2,9,11,4,1,1,3,4,20,+5,41:01,.689,.636,.000,.727,6.3,27.7,17.2,16.2,1.3,2.4,17.1,19.5,124,100
1,Victor Oladipo,Miami Heat,36:09,8,16,.500,3,6,.500,4,4,1.000,0,1,1,3,3,0,2,3,23,+7,36:09,.648,.594,.375,.250,0.0,3.5,1.8,15.1,4.3,0.0,10.1,24.9,121,103
2,Max Strus,Miami Heat,32:23,6,12,.500,3,8,.375,0,0,0,2,3,5,2,2,0,2,5,15,0,32:23,.625,.625,.667,.000,8.0,11.7,9.9,10.5,3.2,0.0,14.3,19.7,113,102
3,P.J. Tucker,Miami Heat,31:53,2,6,.333,0,2,.000,0,0,0,1,4,5,2,1,0,0,5,4,+14,31:53,.333,.333,.333,.000,4.1,15.8,10.0,8.9,1.6,0.0,0.0,8.6,91,105
4,Gabe Vincent,Miami Heat,29:47,3,8,.375,1,2,.500,2,2,1.000,0,4,4,4,2,0,1,1,9,+9,29:47,.507,.438,.250,.250,0.0,17.0,8.6,20.0,3.5,0.0,10.1,15.1,108,100
6,Tyler Herro,Miami Heat,33:14,6,12,.500,0,4,.000,4,4,1.000,0,1,1,4,2,1,3,3,16,-6,33:14,.581,.500,.333,.333,0.0,3.8,1.9,20.4,3.1,2.9,17.9,23.0,104,104
7,Caleb Martin,Miami Heat,20:42,5,12,.417,0,4,.000,0,3,.000,1,3,4,0,1,0,2,2,10,-11,20:42,.375,.417,.333,.250,6.3,18.3,12.4,0.0,2.5,0.0,13.1,33.8,67,102
