,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Reggie Bullock,Dallas Mavericks,35:56,4,12,.333,3,10,.300,1,1,1.000,0,3,3,2,1,0,0,4,12,-27,35:56,.482,.458,.833,.083,0.0,12.1,4.7,10.4,1.4,0.0,0.0,15.4,104,117
1,Luka Dončić,Dallas Mavericks,34:53,6,18,.333,3,10,.300,5,8,.625,0,7,7,4,1,0,7,1,20,-30,34:53,.465,.417,.556,.444,0.0,29.2,11.2,24.2,1.4,0.0,24.5,36.3,76,116
2,Dorian Finney-Smith,Dallas Mavericks,33:49,2,6,.333,1,3,.333,0,0,0,5,2,7,0,0,0,2,4,5,-22,33:49,.417,.417,.500,.000,13.4,8.6,11.6,0.0,0.0,0.0,25.0,10.5,87,121
3,Jalen Brunson,Dallas Mavericks,31:43,6,16,.375,0,5,.000,2,4,.500,1,3,4,4,1,0,1,1,14,-11,31:43,.394,.375,.313,.250,2.9,13.8,7.0,27.6,1.6,0.0,5.3,26.2,88,117
4,Dwight Powell,Dallas Mavericks,14:14,1,2,.500,0,0,0,1,2,.500,2,1,3,0,1,0,0,1,3,-8,14:14,.521,.500,.000,1.000,12.7,10.2,11.8,0.0,3.5,0.0,0.0,9.0,129,113
6,Spencer Dinwiddie,Dallas Mavericks,23:35,5,11,.455,3,7,.429,4,5,.800,0,1,1,2,0,0,1,0,17,-21,23:35,.644,.591,.636,.455,0.0,6.2,2.4,19.5,0.0,0.0,7.0,26.7,124,122
7,Maxi Kleber,Dallas Mavericks,18:56,1,4,.250,1,4,.250,0,0,0,1,2,3,0,0,0,0,3,3,-8,18:56,.375,.375,1.000,.000,4.8,15.4,8.8,0.0,0.0,0.0,0.0,9.4,88,120
8,Dāvis Bertāns,Dallas Mavericks,13:22,0,4,.000,0,4,.000,0,0,0,0,1,1,0,2,0,0,1,0,-5,13:22,.000,.000,1.000,.000,0.0,10.9,4.2,0.0,7.5,0.0,0.0,13.3,0,104
9,Frank Ntilikina,Dallas Mavericks,10:15,0,2,.000,0,2,.000,0,0,0,0,1,1,0,0,0,0,1,0,-6,10:15,.000,.000,1.000,.000,0.0,14.2,5.4,0.0,0.0,0.0,0.0,8.7,0,120
10,Josh Green,Dallas Mavericks,8:08,1,3,.333,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,2,+4,8:08,.333,.333,.333,.000,0.0,17.9,6.9,0.0,0.0,0.0,0.0,16.4,69,120
11,Trey Burke,Dallas Mavericks,5:03,3,4,.750,0,1,.000,1,1,1.000,0,0,0,2,0,0,0,0,7,+3,5:03,.500,.500,.250,.000,0.0,86.4,33.2,0.0,9.9,17.9,33.3,52.7,57,76
12,Sterling Brown,Dallas Mavericks,5:03,2,4,.500,0,1,.000,0,0,0,0,3,3,0,1,1,2,0,4,+3,5:03,.788,.750,.250,.250,0.0,0.0,0.0,100.0,0.0,0.0,0.0,39.0,170,123
13,Marquese Chriss,Dallas Mavericks,5:03,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,+3,5:03,0,0,0,0,0.0,28.8,11.1,0.0,0.0,0.0,0,0.0,0,118
14,Boban Marjanović,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Dallas Mavericks,240,31,86,.360,11,48,.229,14,21,.667,9,26,35,14,7,1,13,17,87,0,240,.457,.424,.558,.244,17.0,78.8,40.7,45.2,7.3,1.9,12.0,100.0,90.3,116.3
0,Andrew Wiggins,Golden State Warriors,35:09,8,17,.471,3,8,.375,0,2,.000,1,4,5,3,1,1,2,3,19,+28,35:09,.531,.559,.471,.118,4.1,10.3,7.9,11.7,1.4,3.6,10.1,26.1,104,93
1,Klay Thompson,Golden State Warriors,34:34,7,13,.538,1,4,.250,0,0,0,0,5,5,4,0,2,3,0,15,+20,34:34,.577,.577,.308,.000,0.0,13.1,8.1,15.3,0.0,7.3,18.8,21.4,102,94
2,Stephen Curry,Golden State Warriors,30:44,7,16,.438,3,9,.333,4,7,.571,2,10,12,4,1,1,3,3,21,+23,30:44,.550,.531,.563,.438,9.5,29.5,21.8,17.8,1.6,4.1,13.6,33.1,108,86
3,Draymond Green,Golden State Warriors,28:50,4,6,.667,0,1,.000,2,3,.667,1,8,9,3,2,1,1,4,10,+25,28:50,.683,.667,.167,.500,5.0,25.1,17.4,12.7,3.5,4.4,12.0,13.3,136,83
4,Kevon Looney,Golden State Warriors,28:21,5,5,1.000,0,0,0,0,0,0,2,3,5,4,0,2,1,2,10,+15,28:21,1.000,1.000,.000,.000,10.3,9.6,9.8,18.0,0.0,8.9,16.7,9.8,176,94
6,Jordan Poole,Golden State Warriors,26:19,8,12,.667,1,4,.250,2,2,1.000,1,1,2,3,1,0,1,5,19,+15,26:19,.738,.708,.333,.167,5.5,3.4,4.2,17.4,1.9,0.0,7.2,24.3,144,96
7,Otto Porter Jr.,Golden State Warriors,23:25,5,7,.714,0,1,.000,0,0,0,0,6,6,1,1,0,0,2,10,+16,23:25,.714,.714,.143,.000,0.0,23.2,14.3,5.7,2.1,0.0,0.0,13.8,146,89
8,Damion Lee,Golden State Warriors,12:26,1,1,1.000,1,1,1.000,0,0,0,0,5,5,0,0,0,1,1,3,-5,12:26,1.500,1.500,1.000,.000,0.0,36.4,22.4,0.0,0.0,0.0,50.0,7.4,105,89
9,Moses Moody,Golden State Warriors,5:03,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,3,-3,5:03,0,0,0,0,0.0,17.9,11.1,20.7,0.0,0.0,100.0,9.1,50,95
10,Jonathan Kuminga,Golden State Warriors,5:03,0,4,.000,0,0,0,2,2,1.000,0,1,1,1,1,0,0,0,2,-3,5:03,.205,.000,.000,.500,0.0,17.9,11.1,20.7,9.9,0.0,0.0,44.6,62,74
11,Nemanja Bjelica,Golden State Warriors,5:03,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,-3,5:03,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,300,102
12,Juan Toscano-Anderson,Golden State Warriors,5:03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,-3,5:03,0,0,0,0,0.0,0.0,0.0,0.0,9.9,0.0,100.0,18.3,0,79
13,Team Totals,Golden State Warriors,240,46,82,.561,10,29,.345,10,16,.625,7,44,51,24,8,7,15,22,112,0,240,.629,.622,.354,.195,21.2,83.0,59.3,52.2,8.3,18.4,14.4,100.0,116.3,90.3
