,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Luka Dončić,Dallas Mavericks,33:31,12,19,0.632,4,9,0.444,6,8,0.75,1,8,9,3,2,0,6,4,34,0,33:31,0.755,0.737,0.474,0.421,3.5,22.0,13.9,24.1,2.8,0.0,21.0,37.3,117.0,92.0,20191023
1,Kristaps Porziņģis,Dallas Mavericks,29:11,7,16,0.438,3,7,0.429,6,7,0.857,0,4,4,2,1,1,4,2,23,3,29:11,0.603,0.531,0.438,0.438,0.0,12.7,7.1,14.0,1.6,3.2,17.3,34.7,101.0,96.0,20191023
2,Maxi Kleber,Dallas Mavericks,23:34,0,1,0.0,0,1,0.0,0,0,0.0,1,7,8,1,0,3,3,4,0,-3,23:34,0.0,0.0,1.0,0.0,5.0,27.4,17.5,5.8,0.0,11.8,75.0,7.4,32.0,89.0,20191023
3,Delon Wright,Dallas Mavericks,21:28,1,2,0.5,1,1,1.0,2,2,1.0,0,4,4,3,1,0,0,1,5,1,21:28,0.868,0.75,0.5,1.0,0.0,17.2,9.6,20.5,2.2,0.0,0.0,5.9,190.0,95.0,20191023
4,Courtney Lee,Dallas Mavericks,16:02,2,5,0.4,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,2,4,-4,16:02,0.4,0.4,0.6,0.0,0.0,5.8,3.2,0.0,0.0,0.0,0.0,13.7,79.0,104.0,20191023
5,Dorian Finney-Smith,Dallas Mavericks,32:12,1,4,0.25,1,3,0.333,7,8,0.875,2,6,8,1,0,1,0,0,10,18,32:12,0.665,0.375,0.75,2.0,7.3,17.2,12.8,4.4,0.0,2.9,0.0,10.2,154.0,98.0,20191023
6,Jalen Brunson,Dallas Mavericks,24:20,3,10,0.3,1,3,0.333,2,4,0.5,1,3,4,3,2,0,4,3,9,2,24:20,0.383,0.35,0.3,0.4,4.8,11.4,8.5,20.3,3.8,0.0,25.4,28.4,70.0,93.0,20191023
7,Tim Hardaway Jr.,Dallas Mavericks,21:25,2,7,0.286,0,5,0.0,0,0,0.0,0,1,1,1,0,0,0,4,4,2,21:25,0.286,0.286,0.714,0.0,0.0,4.3,2.4,7.3,0.0,0.0,0.0,14.3,66.0,104.0,20191023
8,Seth Curry,Dallas Mavericks,19:39,3,6,0.5,1,2,0.5,2,2,1.0,0,3,3,1,0,0,2,1,9,11,19:39,0.654,0.583,0.333,0.333,0.0,14.1,7.9,8.8,0.0,0.0,22.5,19.8,102.0,101.0,20191023
9,Justin Jackson,Dallas Mavericks,18:38,4,6,0.667,0,2,0.0,2,2,1.0,0,4,4,2,0,0,0,1,10,10,18:38,0.727,0.667,0.333,0.333,0.0,19.8,11.1,20.9,0.0,0.0,0.0,16.2,153.0,99.0,20191023
10,Isaiah Roby,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
11,Boban Marjanović,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
12,J.J. Barea,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
13,Team Totals,Dallas Mavericks,240,35,76,0.461,11,36,0.306,27,33,0.818,5,41,46,17,6,5,19,22,108,0,240,0.597,0.533,0.474,0.434,12.2,78.8,49.5,48.6,5.8,9.6,17.3,100.0,104.2,96.4,20191023
