,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Tobias Harris,Philadelphia 76ers,37:37,6,11,0.545,2,5,0.4,1,2,0.5,1,14,15,4,2,0,4,3,15,16,37:37,0.631,0.636,0.455,0.182,3.0,29.8,18.6,17.4,2.5,0.0,25.2,17.5,100.0,86.0,20191023
1,Ben Simmons,Philadelphia 76ers,34:59,11,16,0.688,0,0,0.0,2,5,0.4,2,6,8,9,0,0,4,4,24,15,34:59,0.659,0.688,0.0,0.313,6.4,13.7,10.7,56.4,0.0,0.0,18.0,26.3,119.0,96.0,20191023
2,Josh Richardson,Philadelphia 76ers,33:06,4,12,0.333,0,4,0.0,9,9,1.0,2,4,6,2,1,2,2,4,17,22,33:06,0.533,0.333,0.333,0.75,6.7,9.7,8.4,9.3,1.4,4.5,11.1,22.5,113.0,91.0,20191023
3,Al Horford,Philadelphia 76ers,31:11,5,13,0.385,1,6,0.167,5,6,0.833,1,1,2,3,1,0,1,5,16,6,31:11,0.512,0.423,0.462,0.462,3.6,2.6,3.0,15.8,1.5,0.0,6.0,22.1,113.0,96.0,20191023
4,Joel Embiid,Philadelphia 76ers,23:15,5,14,0.357,1,4,0.25,4,8,0.5,4,9,13,3,0,3,0,5,15,16,23:15,0.428,0.393,0.286,0.571,19.2,31.0,26.1,23.2,0.0,9.7,0.0,31.2,109.0,82.0,20191023
5,Matisse Thybulle,Philadelphia 76ers,21:41,1,5,0.2,1,3,0.333,0,0,0.0,0,1,1,1,2,2,1,5,3,5,21:41,0.3,0.3,0.6,0.0,0.0,3.7,2.1,6.4,4.4,6.9,16.7,11.5,62.0,84.0,20191023
6,Furkan Korkmaz,Philadelphia 76ers,19:02,1,2,0.5,1,1,1.0,0,0,0.0,0,4,4,0,0,0,0,1,3,3,19:02,0.75,0.75,0.5,0.0,0.0,16.8,9.8,0.0,0.0,0.0,0.0,4.4,148.0,95.0,20191023
7,James Ennis III,Philadelphia 76ers,16:57,0,3,0.0,0,2,0.0,3,4,0.75,1,5,6,0,0,0,3,5,3,-12,16:57,0.315,0.0,0.667,1.333,6.6,23.6,16.5,0.0,0.0,0.0,38.7,19.0,50.0,92.0,20191023
8,Mike Scott,Philadelphia 76ers,16:17,2,7,0.286,0,3,0.0,2,2,1.0,1,5,6,1,0,0,0,2,6,3,16:17,0.381,0.286,0.429,0.286,6.9,24.6,17.2,9.5,0.0,0.0,0.0,20.1,98.0,93.0,20191023
9,Kyle O'Quinn,Philadelphia 76ers,3:43,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,5,-2,3:43,1.25,1.25,0.5,0.0,0.0,21.5,12.5,0.0,0.0,0.0,0.0,22.3,250.0,94.0,20191023
10,Shake Milton,Philadelphia 76ers,1:06,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,1:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,219.0,101.0,20191023
11,Raul Neto,Philadelphia 76ers,1:06,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,20191023
12,Trey Burke,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
13,Team Totals,Philadelphia 76ers,240,37,85,0.435,7,29,0.241,26,36,0.722,12,50,62,24,6,7,15,34,107,0,240,0.531,0.476,0.341,0.424,27.9,83.3,60.2,64.9,5.9,10.9,12.9,100.0,105.2,91.4,20191023
