,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Damian Lillard,Portland Trail Blazers,37:49,10,21,0.476,3,10,0.3,9,10,0.9,1,3,4,8,1,0,3,3,32,0,37:49,0.63,0.548,0.476,0.476,2.7,8.3,5.5,43.6,1.3,0.0,10.6,30.8,130.0,113.0,20191023
1,CJ McCollum,Portland Trail Blazers,35:50,5,18,0.278,2,4,0.5,0,0,0.0,2,1,3,3,1,0,5,3,12,-10,35:50,0.333,0.333,0.222,0.0,5.7,2.9,4.3,13.7,1.3,0.0,21.7,26.3,67.0,115.0,20191023
2,Rodney Hood,Portland Trail Blazers,31:10,5,10,0.5,2,5,0.4,1,1,1.0,1,4,5,1,0,0,2,4,13,3,31:10,0.623,0.6,0.5,0.1,3.3,13.4,8.3,5.4,0.0,0.0,16.1,16.4,113.0,114.0,20191023
3,Zach Collins,Portland Trail Blazers,30:30,4,9,0.444,0,2,0.0,0,0,0.0,1,4,5,0,0,2,2,3,8,2,30:30,0.444,0.444,0.222,0.0,3.3,13.7,8.5,0.0,0.0,6.4,18.2,14.8,80.0,110.0,20191023
4,Hassan Whiteside,Portland Trail Blazers,26:03,6,7,0.857,0,0,0.0,4,4,1.0,5,14,19,0,0,2,4,4,16,0,26:03,0.913,0.857,0.0,0.571,19.6,56.1,37.6,0.0,0.0,7.5,31.3,20.1,129.0,95.0,20191023
5,Kent Bazemore,Portland Trail Blazers,24:32,1,7,0.143,0,3,0.0,2,2,1.0,1,1,2,0,5,0,0,2,4,-11,24:32,0.254,0.143,0.429,0.286,4.2,4.3,4.2,0.0,9.8,0.0,0.0,13.2,69.0,93.0,20191023
6,Mario Hezonja,Portland Trail Blazers,18:00,0,3,0.0,0,1,0.0,2,2,1.0,0,4,4,0,0,0,0,2,2,-7,18:00,0.258,0.0,0.333,0.667,0.0,23.2,11.5,0.0,0.0,0.0,0.0,8.8,65.0,111.0,20191023
7,Anthony Tolliver,Portland Trail Blazers,13:06,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-9,13:06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6.3,0.0,119.0,20191023
8,Anfernee Simons,Portland Trail Blazers,12:16,2,7,0.286,0,2,0.0,1,2,0.5,0,0,0,0,2,0,1,2,5,-5,12:16,0.317,0.286,0.286,0.286,0.0,0.0,0.0,0.0,7.8,0.0,11.3,29.7,63.0,100.0,20191023
9,Skal Labissière,Portland Trail Blazers,10:44,3,4,0.75,0,0,0.0,2,2,1.0,2,4,6,1,0,0,2,1,8,-3,10:44,0.82,0.75,0.0,0.5,19.0,38.9,28.9,19.8,0.0,0.0,29.1,26.3,125.0,106.0,20191023
10,Gary Trent Jr.,Portland Trail Blazers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
11,Nassir Little,Portland Trail Blazers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
12,Team Totals,Portland Trail Blazers,240,36,87,0.414,7,28,0.25,21,23,0.913,13,35,48,13,9,4,20,25,100,0,240,0.515,0.454,0.322,0.264,27.7,76.1,51.6,36.1,9.0,8.2,17.1,100.0,100.1,108.1,20191023
13,Damian Lillard,Portland Trail Blazers,34:02,12,20,0.6,3,7,0.429,8,8,1.0,0,5,5,5,3,0,3,4,35,23,34:02,0.744,0.675,0.35,0.4,0.0,14.7,8.5,24.3,4.1,0.0,11.3,33.8,136.0,105.0,20191025
14,CJ McCollum,Portland Trail Blazers,33:44,8,18,0.444,1,4,0.25,2,2,1.0,0,2,2,3,1,0,2,2,19,5,33:44,0.503,0.472,0.222,0.111,0.0,5.9,3.4,12.3,1.4,0.0,9.6,26.8,97.0,115.0,20191025
15,Zach Collins,Portland Trail Blazers,31:52,2,5,0.4,1,2,0.5,4,4,1.0,3,1,4,5,0,0,2,4,9,7,31:52,0.666,0.5,0.4,0.8,12.9,3.1,7.3,17.5,0.0,0.0,22.8,11.9,135.0,119.0,20191025
16,Rodney Hood,Portland Trail Blazers,30:23,3,8,0.375,2,4,0.5,0,0,0.0,0,4,4,1,1,1,0,1,8,9,30:23,0.5,0.5,0.5,0.0,0.0,13.2,7.6,3.8,1.5,3.2,0.0,11.4,104.0,110.0,20191025
17,Hassan Whiteside,Portland Trail Blazers,26:19,9,10,0.9,0,0,0.0,4,6,0.667,2,7,9,3,1,1,2,2,22,23,26:19,0.87,0.9,0.0,0.6,10.4,26.6,19.8,18.5,1.8,3.6,13.7,24.1,155.0,104.0,20191025
18,Kent Bazemore,Portland Trail Blazers,23:32,4,7,0.571,1,3,0.333,0,0,0.0,0,8,8,5,0,2,1,5,9,17,23:32,0.643,0.643,0.429,0.0,0.0,34.0,19.7,27.0,0.0,8.2,12.5,14.7,129.0,103.0,20191025
19,Anfernee Simons,Portland Trail Blazers,21:09,6,9,0.667,3,6,0.5,0,0,0.0,0,2,2,0,1,0,3,1,15,-3,21:09,0.833,0.833,0.667,0.0,0.0,9.5,5.5,0.0,2.2,0.0,25.0,24.6,108.0,112.0,20191025
20,Mario Hezonja,Portland Trail Blazers,17:31,2,3,0.667,0,1,0.0,1,2,0.5,0,4,4,0,1,0,2,2,5,-6,17:31,0.644,0.667,0.333,0.667,0.0,22.8,13.2,0.0,2.7,0.0,34.0,14.6,79.0,105.0,20191025
21,Anthony Tolliver,Portland Trail Blazers,11:12,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,-6,11:12,0.0,0.0,1.0,0.0,0.0,17.9,10.3,9.3,0.0,0.0,0.0,11.6,24.0,114.0,20191025
22,Skal Labissière,Portland Trail Blazers,6:10,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,0,-7,6:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,50.0,14.1,0.0,112.0,20191025
23,Nassir Little,Portland Trail Blazers,2:03,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,2:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.0,121.0,20191025
