Starters,Aaron Nesmith,Al Horford,Al-Farouq Aminu,Brad Wanamaker,Brodric Thomas,Bruno Fernando,C.J. Miles,Carsen Edwards,Daniel Theis,Dennis Schröder,Derrick White,Enes Freedom,Evan Fournier,Gordon Hayward,Grant Williams,Jabari Parker,Javonte Green,Jaylen Brown,Jayson Tatum,Jeff Teague,Joe Johnson,Josh Richardson,Juancho Hernangómez,Justin Jackson,Juwan Morgan,Kelan Martin,Kemba Walker,Luke Kornet,Malik Fitts,Marcus Smart,Matt Ryan,Moritz Wagner,Nik Stauskas,Norvel Pelle,Payton Pritchard,Robert Williams,Romeo Langford,Sam Hauser,Semi Ojeleye,Tacko Fall,Tremont Waters,Tristan Thompson,Vincent Poirier
Aaron Nesmith,1.0,-0.037495629245878584,,-0.25423804160549096,0.2445932416333341,0.15273932533033288,,0.09688745034689918,-0.17049603347385664,0.04536289079810258,0.055580147775526424,-0.160953259590162,0.3514932162528857,-0.21836823037123476,0.036366051025722775,0.08968415773102979,-0.04984912191304673,-0.06616513692306403,0.03437990330153057,0.039459767207859424,0.059170369887943,-0.0019628464076835036,0.059873443434215565,0.059170369887943,-0.028620450652320266,,-0.14630097840749826,0.21653715795944384,0.1269035652872954,-0.0891460662862615,0.05917036988794302,-0.030371455611528046,-0.025632713095573786,,0.24401537928668712,0.027437139814720308,0.05166332694345938,0.22218178898897425,-0.07426071057516145,0.024036868228783842,0.19733256071480457,0.15947806263762204,-0.10835851626499281
Al Horford,-0.037495629245878584,1.0,,-0.3199614152935985,0.162880002962792,0.07523092171589804,,-0.20127407064314945,-0.30508956427558626,0.38772984862745147,0.4084446774458002,-0.18652871373963026,-0.15011416883238154,-0.2748188571762103,0.33795369554261684,-0.07171604069806646,-0.22952517865904631,0.023598070854656917,0.03288944119871407,-0.15956660995584732,-0.03601915684697916,0.3126359194193257,0.043743941364313824,-0.03601915684697916,0.06452511533323871,,-0.4603623433201109,-0.0597751718142952,0.12318106994345553,0.04201981617154134,0.09468839698730405,-0.0767435131427773,0.12371988178707988,,0.016833024410924723,0.11184008200145598,0.05735792821769041,0.04269926559276415,-0.32161874378988586,-0.16356406839355372,-0.15820535012147774,-0.26317499016994467,-0.13637040312425333
Al-Farouq Aminu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Wanamaker,-0.25423804160549096,-0.3199614152935985,,1.0,-0.07781982891796553,-0.08300636995841428,,0.13627135276212646,0.3258601133875851,-0.210301022621672,-0.213563221228708,0.4057186534016867,-0.13610789149177796,0.430367541120358,-0.2009789795162048,-0.13479755321085385,0.23210907376080078,-0.03600270044321382,-0.11749550832193591,-0.1446783804787414,-0.03265841945424964,-0.1942453006623355,-0.08453861374619295,-0.03265841945424964,-0.032658419454249646,,0.32397095498610945,-0.1420436453147463,-0.07385438279258308,0.028734088803382095,-0.032658419454249625,-0.06958302364647771,-0.08995074222778889,,-0.38143442396700883,-0.25552737426886163,-0.08550683018605093,-0.11003635805641973,0.2208575572500601,-0.003579221182419656,-0.05088258649573665,-0.23861966717743782,0.2166335279038725
Brodric Thomas,0.2445932416333341,0.162880002962792,,-0.07781982891796553,1.0,-0.022266013291842898,,-0.04895313307918655,0.04004834994435941,-0.05641212074842261,0.22237412610436888,-0.07949077349576286,-0.03651021147652815,-0.06684042333435494,0.0902861850318381,-0.03615872026453465,-0.05582426280750928,0.0800333267408527,-0.031673726446521576,-0.03880919915418381,-0.008760445758840111,-0.014033032416700586,-0.022677029465205455,-0.008760445758840111,-0.008760445758840113,,-0.1119676219852048,0.12416141751174758,0.21533741139442003,-0.07206375686219545,0.33289693883592414,-0.018665272679377516,0.06997353127078847,,0.08191087555145259,0.039437638861165074,-0.03194702411525776,0.36516328233084605,-0.07822291820897771,-0.039781446171667255,-0.038478118585214785,-0.06400844517992765,-0.033167503746867305
Bruno Fernando,0.15273932533033288,0.07523092171589804,,-0.08300636995841428,-0.022266013291842898,1.0,,-0.05221576468997303,-0.1320618985652432,0.27632460133813863,-0.061105268267036876,0.04701898884901807,-0.03894354643564372,-0.07129520823435839,0.02949009288843387,-0.038568629014395936,-0.05954484192120998,0.061996656742737556,-0.03666088599676918,-0.041395757194195804,-0.00934431251995503,0.15575259733309083,0.19531638227664458,-0.00934431251995503,-0.009344312519955026,,-0.11943004736832774,-0.04064189986762883,-0.021131409459329595,0.07106973782806826,-0.009344312519955026,-0.019909276992016254,-0.025736941983853484,,0.12543039819334367,0.07128867841072425,-0.04070134865529896,0.026678455002849665,-0.0834363243708212,-0.04243280259440185,-0.04104261074584195,-0.06827448421492696,-0.03537805370289076
C.J. Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carsen Edwards,0.09688745034689918,-0.20127407064314945,,0.13627135276212646,-0.04895313307918655,-0.05221576468997303,,1.0,0.02271251166984267,-0.1322913978382063,-0.13434350775365364,0.0658517936858716,0.060899945678877715,0.06366283881286483,-0.09255957347580314,0.044689793635980204,0.21848762703490787,-0.08171169059817272,-0.18552305740205788,0.03516691091899433,-0.020544017841328012,-0.12219142840000105,-0.053179633861825816,-0.020544017841328012,-0.020544017841328012,,0.19340550577385127,0.08490985248839807,-0.04645864016403472,-0.09657452026441188,-0.02054401784132801,0.08606903871430927,-0.05658417290393179,,-0.05800858419079037,0.027684700732068405,-0.04073850155974619,-0.06921917658240151,0.20981884239177634,0.3014608297012183,0.26047432548218347,0.10566033819834661,0.2069642879488324
Daniel Theis,-0.17049603347385664,-0.30508956427558626,,0.3258601133875851,0.04004834994435941,-0.1320618985652432,,0.02271251166984267,1.0,-0.3345857954220161,-0.0037949116143674647,0.07434560001730307,-0.2165456285959922,0.35220511885468264,-0.21736188793251524,-0.214460899903143,0.18258067061965372,0.10732663173294925,-0.21456146242972826,0.21282331978997812,-0.0519590590388308,-0.309041380868676,-0.13449967561512766,-0.0519590590388308,-0.03147555995204264,,0.2802646799779677,-0.10925021074535304,0.02750609392220281,0.050433785979044556,0.060700185938504146,-0.11070555446850434,-0.04861100116027537,,-0.1460541053167642,-0.274732177745082,-0.30565820381346925,0.11085419758253502,0.13365262704089964,-0.046092694287980795,-0.10112872940354273,-0.033326499588423666,0.03309782583015766
Dennis Schröder,0.04536289079810258,0.38772984862745147,,-0.210301022621672,-0.05641212074842261,0.27632460133813863,,-0.1322913978382063,-0.3345857954220161,1.0,-0.1548134246873764,-0.0019897587415592553,-0.09866553186259705,-0.1806301758193048,0.12873760740101703,0.08522268091344518,-0.15086000211971556,-0.1696315892826479,0.07127699403039695,-0.10487833734325766,0.0038672522340818297,0.45151973535366935,0.24015032475888226,0.0038672522340818297,-0.02367430932864007,,-0.30258233321005584,-0.10296839998824132,-0.05353754200985648,-0.05051877048043958,-0.023674309328640057,-0.05044120485182983,-0.06520590192139072,,-0.08868912442919821,0.1462988047163142,0.24344611530213858,-0.06518386049420505,-0.2113903348353634,-0.1075057466406127,-0.10398362216343192,-0.17297701196377716,-0.08963216769760914
