Starters,Andre Drummond,Blake Griffin,Brandon Knight,Braxton Key,Bruce Brown,Cade Cunningham,Carsen Edwards,Cassius Stanley,Cheick Diallo,Chris Smith,Christian Wood,Cory Joseph,Deividas Sirvydis,Delon Wright,Dennis Smith Jr.,Derrick Rose,Derrick Walton,Donta Hall,Frank Jackson,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jahlil Okafor,Jamorko Pickett,Jaysean Paige,Jerami Grant,John Henson,Jordan Bone,Jordan McRae,Josh Jackson,Justin Robinson,Kelly Olynyk,Khyri Thomas,Killian Hayes,Langston Galloway,Louis King,Luka Garza,Luke Kennard,Markieff Morris,Marvin Bagley III,Mason Plumlee,Micah Potter,Reggie Jackson,Rodney McGruder,Saben Lee,Saddiq Bey,Sekou Doumbouya,Svi Mykhailiuk,Thon Maker,Tim Frazier,Tony Snell,Trayvon Palmer,Trey Lyles,Tyler Cook,Wayne Ellington
Andre Drummond,1.0,0.255914857290841,-0.08926929844122104,-0.09493475270754155,0.6385476402496213,-0.283980012514636,-0.05241652149898827,-0.07438783408925673,-0.04014744279535645,,0.3404480947254509,-0.3057928169402236,-0.07598569922267014,-0.17832531895877632,-0.1347065994223059,0.5416854240518028,-0.05327990099629518,-0.0476500237240124,-0.31937121204811336,-0.2901923205942917,-0.11607397242174544,-0.4699920078562879,-0.1526186642237678,-0.08336861363645698,,-0.40728813386893403,-0.10222857630174333,0.0006218505802238527,-0.06574222753130125,-0.3411636864611821,-0.06915121029195934,-0.19475142671185752,-0.04087098895223308,-0.3160892804301498,0.6423822189463704,0.2752833078812528,-0.14858780673475794,0.5261604007989875,0.5866349011149053,-0.13572399231698778,-0.2638992010449338,-0.045184059777391476,0.1903274168430289,-0.20938386517349764,-0.24961944524662605,-0.5155943014930058,0.08044786746954627,0.32065780920573483,0.28047735679841374,0.4053213539197205,0.6063370273922046,,-0.23215272962549827,-0.1407767573621329,-0.20222702957154692
Blake Griffin,0.255914857290841,1.0,-0.07337734582394392,-0.07803422119104744,0.1447497173185654,-0.23342515231140584,-0.043085196053735716,-0.06114511844915647,-0.03300029064171039,,0.05367394794793142,-0.2513547845777587,-0.06245852747691652,0.26067698359648034,-0.09020697293015058,0.30194939271016835,-0.04379487448806229,-0.03916724260601421,-0.2523063801510677,-0.238531529154122,-0.09541018204772217,-0.2023751558771045,0.08377582216952066,-0.06852711627047256,,0.035438900101508554,-0.08402957934436577,-0.044469799706309425,-0.054038625250057586,-0.012427179687801541,-0.056840732035980016,-0.16008127135615213,-0.0561435573241083,-0.21680897460771173,0.25015350883109155,0.05576918243069201,-0.12213581903723252,0.2858625606901883,0.1319778630398411,-0.11156205430926985,0.13545941669396555,-0.03714027597291441,-0.09339231225361881,-0.13717018346091342,-0.18486947664353393,-0.28647566254346296,-0.08425652313514195,0.17585184187972042,-0.0176952091474806,0.08851238526032382,0.028590121005190424,,-0.19082429707811818,-0.11571531298340265,0.11135325115150516
Brandon Knight,-0.08926929844122104,-0.07337734582394392,1.0,-0.03424322069286748,-0.010709305506101234,-0.1024323544704346,-0.018906780314388517,-0.026831891872410973,-0.014481290619999188,,0.49919409002023074,-0.11030029170704167,-0.027408246124572707,-0.06432242227504391,-0.04858903279617723,0.1412956347077602,0.06948119770926116,0.4736476090285922,-0.11519805535073935,-0.1046731507069727,-0.04186819411201659,-0.1695273815952993,-0.05504996275668346,-0.030071283214969748,,-0.1469099255635615,0.7708669664633759,-0.019514376414196483,0.5227426548116152,-0.12305865949713964,-0.024943027581282615,-0.07024736353071227,0.35244418017082035,-0.11401425378716389,0.2533605284158047,-0.028882321581660413,-0.053596021616678854,-0.06181990825844795,-0.06829584863682296,-0.04895600915025566,-0.09518915175238223,-0.01629801191480873,-0.03102739294235793,-0.07552532344767049,-0.09003840542086687,-0.18597625158829023,0.11434554933652875,0.20484971199910418,0.08613969284987029,-0.04174542522971301,0.21718910878725822,,-0.08373811410777524,-0.05077855509487022,-0.07294383359289475
Braxton Key,-0.09493475270754155,-0.07803422119104744,-0.03424322069286748,1.0,-0.09467564680908985,0.17660085922422786,0.5818452780241766,-0.028534771349861942,-0.01540034219940555,,-0.09670228141550213,-0.037653384661607815,-0.02914770378415167,-0.06840462912623992,-0.051672723919086096,-0.111758244902619,-0.020437882230155364,-0.018278291718357247,0.20430460253584892,-0.11131620670267431,0.6094242847367353,0.14176796239474987,-0.05854369522469429,0.5929959333849257,,-0.1520004176153172,-0.03921432968046925,-0.020752851556724794,-0.02521836337357757,-0.13086854732677008,-0.02652603074690485,0.10014350842296549,-0.02620067818403907,0.3628692034651633,-0.10765856467586041,-0.030715331080819808,0.15313147869899665,-0.06574329366756465,-0.08353864566772375,0.20115504336709558,-0.10123030806614056,-0.017332361268367208,-0.043583663644512764,0.16429361249215127,0.1323258714787568,0.06504426432943074,-0.10597756443332519,-0.12059479433630294,-0.07645388275348618,-0.04439478846653475,-0.09532536725285858,,-0.08905253310859108,-0.054001203716772944,-0.07757319621192273
Bruce Brown,0.6385476402496213,0.1447497173185654,-0.010709305506101234,-0.09467564680908985,1.0,-0.28320494443696775,-0.05227346082300434,-0.07418480699921991,-0.040037868177639005,,0.525729130146745,-0.3049582150656343,-0.07577831107128137,-0.1778386147680797,-0.13433894402240998,0.4357827568741203,-0.053134483894303135,-0.04751997227439952,-0.3184995505914045,-0.2894002972329096,-0.11575717114451611,-0.4687092563033773,-0.15220212133524255,-0.08314107525959416,,-0.40617652031493895,0.1577763678917882,0.2406854775600572,0.05196942392022413,-0.34023254669435765,-0.06896247554561287,-0.1942198906625839,0.1109132993163676,-0.3152265763659264,0.6175127537520922,0.256551680972187,-0.14818226528586842,0.4764260183770816,0.4683501370609912,-0.13535356014154312,-0.2631789396270932,-0.04506073869559133,0.21428696091167743,-0.20881239273627333,-0.24893815763816823,-0.514187087370518,0.20477542771982563,0.3703787668779501,0.4056421294678424,0.20812661519626732,0.6011796550767893,,-0.23151911401191008,-0.14039253464961585,-0.20167509032175732
Cade Cunningham,-0.283980012514636,-0.23342515231140584,-0.1024323544704346,0.17660085922422786,-0.28320494443696775,1.0,-0.023995294253018478,0.03393751702638451,-0.04606731724460945,,-0.2892672525430893,0.2949729000285322,-0.08719004420747542,-0.20461998247545335,-0.15456953714739793,-0.33430442362692664,-0.06113620024241253,-0.05467617877423418,0.12322566723646539,0.20848103782750813,0.1698399390342221,0.2364964478833916,-0.1751227956929307,0.15673387913823603,,0.08453913876606146,-0.11730252110856418,-0.062078373585155194,-0.07543613842329294,-0.159959761004402,0.07455517259152648,0.32376807349940734,-0.07837455416897393,0.36451350216115136,-0.3220409773241016,-0.09187931559260784,0.11099901957444586,-0.19665908243299474,-0.2498906350476159,0.44423885985535727,-0.3028120191142538,0.05736945768574878,-0.13037258742676655,0.23487116385633405,0.06582698064964904,0.3269292004014389,-0.3170125714316583,-0.3607373509501197,-0.22869785786467597,-0.132798919518433,-0.28514846474423455,,0.35096069720266826,-0.1615347601371732,-0.2320460801001499
Carsen Edwards,-0.05241652149898827,-0.043085196053735716,-0.018906780314388517,0.5818452780241766,-0.05227346082300434,-0.023995294253018478,1.0,-0.015754962363850305,-0.008503022812664804,,-0.053392430782770874,-0.06476535284315772,-0.016093382017381704,-0.03776838945661511,-0.02853016800454467,-0.06170531106425868,-0.011284410216045437,-0.010092031037059227,0.14484810793814026,-0.06146124759803622,0.3893580203999794,0.018841393053121634,-0.032323851612367796,0.08367904165421171,,-0.08626154127096185,-0.02165148900842341,-0.011458314882216615,-0.013923867163930783,-0.07225672189432143,-0.014645872257246733,0.1489965502649664,-0.014466234673329055,0.1366640566881805,-0.0594417461355453,-0.016958919321211206,0.1303678731791428,-0.036298980801647486,-0.046124365332557045,-0.02874564661016893,-0.05589249950905013,-0.009569752499912824,-0.024063938413206594,0.3332232740889924,0.0056860449803467685,0.14401769859643357,-0.058513611992466096,-0.0665842533920957,-0.042212640521376604,-0.024511786439975626,-0.05263219231634956,,-0.0491687594173827,-0.029815796374498982,-0.04283064937782763
Cassius Stanley,-0.07438783408925673,-0.06114511844915647,-0.026831891872410973,-0.028534771349861942,-0.07418480699921991,0.03393751702638451,-0.015754962363850305,1.0,0.3638729536847242,,-0.0757728130197946,0.05760957256939938,0.036454889518496056,-0.05359967827646379,-0.040489092815929266,-0.08757018418253197,0.726194641057673,-0.01432228444275687,-0.015195841116999296,0.42829260931943,-0.03488863844126885,-0.0584638178371496,-0.04587296604397871,-0.025058308575362242,,-0.12241959284672745,-0.030727093788073152,-0.016261270340444896,-0.019760302493390846,-0.052243916782330674,0.4942706505546487,-0.05853691375172022,-0.02053001294251519,0.008516652319381545,-0.08435780595612408,-0.02406755047306409,0.6054963020275739,-0.051514340979955824,-0.06545820931472426,-0.04079489309237972,-0.07932082979587522,0.35032231066150515,-0.03415076405347224,-0.03952723675963725,-0.04027858061112844,0.15388971278578184,-0.08304062796198185,-0.09449422152868057,-0.05990681582398034,-0.03478633550613223,-0.0746939071463953,,0.0944777165682784,-0.042313615068640155,-0.060783874029383324
Cheick Diallo,-0.04014744279535645,-0.03300029064171039,-0.014481290619999188,-0.01540034219940555,-0.040037868177639005,-0.04606731724460945,-0.008503022812664804,0.3638729536847242,1.0,,-0.04089492204471636,0.006026872471209451,0.13895238703671808,-0.0289279832354283,-0.02185214232360829,-0.04726201539661153,-0.008643080476768464,-0.007729800207309018,0.15651616766597282,0.25543299886989734,-0.01882955234787521,-0.07624223527784627,-0.02475784249739225,-0.01352407987669907,,-0.06607039526043457,-0.01658354830769809,-0.008776279465127273,-0.010664722581120594,-0.04732284728933606,-0.011217728720271157,-0.0315926310402323,-0.011080138712045016,-0.0512760916877752,-0.045528280671562074,-0.012989363350495012,0.4579751576438234,-0.02780251748090558,-0.03532808484242317,-0.022017184084212157,-0.042809802378290046,-0.00732977084454918,-0.018431318279940417,-0.033966309309719174,-0.04049333638932451,0.11067495585713528,-0.04481739388720326,-0.05099894895128211,-0.03233197324255149,-0.01877433900168116,-0.0403126317769032,,0.041624078872263756,-0.022836845046390566,-0.03280532543193455
Chris Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
