Starters,Aaron Holiday,Ahmad Caver,Alize Johnson,Amida Brimah,Brad Wanamaker,Brian Bowen,Buddy Hield,Caris LeVert,Cassius Stanley,Chris Duarte,DeJon Jarreau,Domantas Sabonis,Doug McDermott,Duane Washington Jr.,Edmond Sumner,Gabe York,Goga Bitadze,Isaiah Jackson,JaKarr Sampson,Jalen Lecque,Jalen Smith,Jeremy Lamb,Justin Anderson,Justin Holiday,Keifer Sykes,Kelan Martin,Lance Stephenson,Malcolm Brogdon,Myles Turner,Nate Hinton,Naz Mitrou-Long,Oshae Brissett,Reggie Perry,T.J. Leaf,T.J. McConnell,T.J. Warren,Terry Taylor,Torrey Craig,Tristan Thompson,Tyrese Haliburton,Victor Oladipo
Aaron Holiday,1.0,-0.053056091531731665,0.252703776827029,0.05668314024058891,-0.19331497198062692,0.08530225188072417,-0.26793916511637744,-0.17345712383627654,0.05469393151335094,-0.40110980760114046,,0.08452989068326676,0.39900511072071126,-0.33137088120543856,0.2375352900891267,-0.0600623708451323,-0.10390771839312728,-0.25974971338362096,0.2854343088648049,0.04660906383915082,-0.25094087109567914,0.11977726498605627,-0.14252149152662216,0.12728981781255938,-0.2176552035854905,-0.15351385030897088,-0.28640857595141106,0.0025146258483845574,0.12972030700656675,,0.21493286191378266,-0.3294171739498032,-0.053056091531731665,0.1921203339554716,0.25560434967960777,0.3514022990818604,-0.2669294458485149,-0.2943984171415943,-0.07966798895480086,-0.2666461057633819,0.042332065105522426
Ahmad Caver,-0.053056091531731665,1.0,-0.01058026073645141,-0.007139818357923968,-0.01570515591170745,-0.008517962183885413,-0.02176772093693365,-0.040275317982085564,-0.013877777598218588,-0.03258667449059351,,0.11468540085354867,-0.0626169707054788,0.105691939384749,-0.03618824317886011,-0.004879543932293702,-0.04544542111762242,-0.021102399389530527,-0.02744889164383307,-0.00598929973214813,-0.02038675776014016,-0.050211132503938556,-0.011578628505913182,-0.014800040979167163,0.3943217012727337,-0.02757476461810627,0.41277661199951654,-0.07526000371410585,0.047878681892781445,,-0.0049637850464038045,0.0434941236511384,-0.004310344827586206,-0.015216923872939304,-0.06992264915584075,-0.039433993034826094,-0.021685690050415336,-0.023917304459128888,-0.006472329457403453,-0.02166267113901152,-0.024633881573300192
Alize Johnson,0.252703776827029,-0.01058026073645141,1.0,-0.017525544442355198,-0.03855019751297679,0.4248634332226569,-0.05343149385104837,-0.09886062079459779,-0.034064677260139765,-0.07998791893348906,,-0.09843553219986065,0.13622829970944397,-0.0660808254510107,0.059878590229856456,-0.011977428522243736,0.03016218653954547,-0.05179838194778413,0.21114960787635875,-0.014701457848413528,-0.050041753340172454,-0.09477113226611339,-0.02842113878663232,0.030637787806392237,-0.04340404161136939,-0.06768558226215478,-0.05711459934641689,-0.055160403745753143,-0.046241699902331006,,0.32180644768899014,-0.09445538043751064,-0.01058026073645141,0.29479913112439854,-0.01712962643885227,0.06858609563335037,-0.05323013915611735,-0.058707905611436816,-0.015887112509718124,-0.053173636464508324,-0.0021706388485584925
Amida Brimah,0.05668314024058891,-0.007139818357923968,-0.017525544442355198,1.0,-0.026014614834252332,-0.014109475043244871,-0.03605687706491887,0.11435996039688232,0.6727839256359733,-0.053977801326378666,,0.0070151250000151134,0.20147341443028122,-0.044592954976659396,0.10727819471007245,-0.008082661304292202,-0.07527751605917117,-0.03495481326536635,0.031423828624609795,-0.009920902825458476,-0.03376939737694024,-0.08317162082471542,-0.01917927861293536,-0.025645110085818098,-0.02929010738244712,0.19415467340242692,-0.03854232660959831,-0.011671040070501095,-0.11697638180708979,,-0.008222201474991746,0.201466449884276,-0.007139818357923965,-0.0252058888012413,0.00456210584238669,-0.06531995899594098,-0.03592099799887945,-0.039617528592248076,-0.010721011549412286,-0.035882868602556316,-0.04080449405308189
Brad Wanamaker,-0.19331497198062692,-0.01570515591170745,-0.03855019751297679,-0.026014614834252332,1.0,-0.03103601440232407,-0.07931278466844296,0.17597714077071622,-0.05056501732602152,0.3479071558106388,,0.03987033157190263,-0.2281509547344202,-0.07965179750728646,-0.13185534430038937,-0.017779087590450094,-0.03966684582228359,-0.03720439152018813,-0.10001267650583122,-0.021822589574117514,-0.07428111252447346,0.1094851798425033,-0.042187846495552794,-0.0774683245251832,-0.06442820812121342,0.2413918105609797,-0.0847799227177676,0.005141445139193128,0.12453864179404053,,-0.018086028191305913,0.05629401174206108,-0.01570515591170745,-0.05544432556569403,-0.04778908216231862,-0.14368154604928607,-0.07901389724437873,0.2246866018625237,-0.023582554831786312,-0.07893002562691537,-0.0897559165900583
Brian Bowen,0.08530225188072417,-0.008517962183885413,0.4248634332226569,-0.014109475043244871,-0.03103601440232407,1.0,-0.0430166567146798,-0.07959076343956475,-0.027424809268495533,-0.06439671815419445,,0.00916871792653409,0.1727741228838438,-0.053200387617330876,0.06189223537422589,-0.009642794800053388,0.010356420465985717,-0.04170187007751009,0.17225745400073408,0.3558647924291159,-0.04028764254347428,-0.09922559446783719,-0.022881306183073262,0.07139069792884262,-0.03494374990208739,-0.05449234612120437,-0.045981853330366605,0.05098111725235399,-0.11725335909460931,,-0.009809269328895212,-0.07604419008874776,-0.008517962183885413,0.2479679564443507,-0.0349614750815564,0.03751310378334553,-0.04285454996516833,-0.047264593222213463,-0.012790405353875968,-0.042809060746858696,-0.04868066943061436
Buddy Hield,-0.26793916511637744,-0.02176772093693365,-0.05343149385104837,-0.03605687706491887,-0.07931278466844296,-0.0430166567146798,1.0,-0.20339483673543077,-0.07008432087602158,-0.03508680216014492,,-0.46693100407952826,-0.316222668662059,0.45517484997690527,-0.18275465426195434,0.1346792177936603,0.29089809424535445,0.5334595170937906,-0.13861995669281255,-0.030246630001076066,0.8082111018533066,-0.253571805503367,0.3328079809525443,-0.46051388885513267,0.23890585753647445,-0.1392556292171881,0.3859130662203988,-0.1844320771791001,-0.3566350161503717,,-0.025067666742001823,0.4230307096589373,-0.021767720936933667,-0.07684715855325192,-0.2886634882094105,-0.19914605214817063,0.6158881894961807,-0.12078504849495927,0.31376590537332893,0.8817487508017509,-0.12440384264600847
Caris LeVert,-0.17345712383627654,-0.040275317982085564,-0.09886062079459779,0.11435996039688232,0.17597714077071622,-0.07959076343956475,-0.20339483673543077,1.0,0.09401470725947796,0.24816399071293482,,0.006911211376808975,-0.10148873005953697,-0.0251132340347183,0.2593345428147955,-0.04559384256751895,-0.0008086574413905491,-0.06461833526096569,-0.005768131088990211,-0.055963260678930364,-0.19049129112790786,-0.16113958588386565,-0.1081892432103258,0.09916525662535743,-0.12639133301948755,0.34422817859382077,-0.0901034300425926,-0.1699330204097145,-0.1469830168208234,,-0.046380980904163226,0.21912749864400002,0.23079363784507373,-0.14218501586450227,0.06307828684190535,-0.3684662532371851,-0.006272480990440574,0.21486511361747668,-0.06047662945976453,-0.20241326468388868,-0.2301758799314676
Cassius Stanley,0.05469393151335094,-0.013877777598218588,-0.034064677260139765,0.6727839256359733,-0.05056501732602152,-0.027424809268495533,-0.07008432087602158,0.09401470725947796,1.0,-0.10491750412907185,,0.05008277044510377,0.2514010411631599,-0.08667603019993307,0.15384939715452134,-0.01571039630976129,-0.0389784575410836,-0.0679422220798717,0.008004678047582115,0.13929431800662018,-0.06563811051340385,-0.13250777804612773,-0.03727906646101005,0.013663109090916056,-0.056931643874443535,0.31454097734100867,-0.07491532837278429,0.045929767326997835,-0.15149207989373623,,-0.015981622741290384,0.17884878912053448,-0.013877777598218588,-0.048993083775140445,0.0427413401433798,-0.10878752407311577,-0.06982021059138725,-0.07700521543157997,-0.0208385993105206,-0.06974609788212774,-0.015935790159294114
Chris Duarte,-0.40110980760114046,-0.03258667449059351,-0.07998791893348906,-0.053977801326378666,0.3479071558106388,-0.06439671815419445,-0.03508680216014492,0.24816399071293482,-0.10491750412907185,1.0,,-0.061645662751893475,-0.47339109133622076,0.23440170474361813,-0.27358704419858154,-0.0368898814699357,0.07285898442067992,0.21454754954348623,-0.20751659853303725,-0.04527975570516154,-0.017175917105156462,-0.025416901391926233,-0.0875356875753704,0.005330409600680934,0.13357500384343998,0.13226557688305576,0.14886072323337485,-0.1573001149206875,0.020777993221895004,,-0.037526753431237236,0.17496169090808303,0.0939582447812113,-0.11504159523898258,-0.2118153881405554,-0.29812526521452837,0.029253392732081145,0.5046384479618085,-0.02818248914128073,0.004445515883771002,-0.18623481702239944
