Starters,Axel Toupane,Bobby Portis,Brook Lopez,Bryn Forbes,D.J. Augustin,D.J. Wilson,DeAndre' Bembry,DeMarcus Cousins,Donte DiVincenzo,Dragan Bender,Elijah Bryant,Eric Bledsoe,Ersan İlyasova,Frank Mason III,George Hill,Georgios Kalaitzakis,Giannis Antetokounmpo,Grayson Allen,Greg Monroe,Javin DeLaurier,Javonte Smart,Jaylen Adams,Jeff Dowtin,Jeff Teague,Jevon Carter,Jordan Nwora,Jrue Holiday,Justin Jackson,Justin Robinson,Khris Middleton,Kyle Korver,Langston Galloway,Lindell Wigginton,Luca Vildoza,Luke Kornet,Mamadi Diakite,Marvin Williams,P.J. Tucker,Pat Connaughton,Rayjon Tucker,Robin Lopez,Rodions Kurucs,Rodney Hood,Sam Merrill,Sandro Mamukelashvili,Semi Ojeleye,Serge Ibaka,Sterling Brown,Thanasis Antetokounmpo,Torrey Craig,Wesley Matthews
Axel Toupane,1.0,-0.011915493345933956,-0.06817582296113474,0.22825788157088794,-0.037446708702575,-0.032196050164733925,-0.006940362013552425,-0.024354946781984355,-0.04608348406422657,-0.012384696882722573,-0.011752919432078174,-0.05796741837030497,-0.04899510868090471,-0.014398302656848355,-0.07917442791858484,-0.011250835860558937,-0.13249616527685112,-0.060440305308358463,-0.01308551434927248,,-0.016400377640646703,-0.00694036201355243,,0.3820034063185696,-0.027674751706207364,0.23825849340829133,-0.05391997160940858,-0.009640983934268618,-0.01866085659789225,-0.11613875130197364,-0.0509114661666265,-0.006940362013552427,-0.019662258094466083,-0.009640983934268627,,0.5349009899131885,-0.030289719874998604,0.1177590147163921,0.005973603910113984,-0.007800516298013461,-0.04814182775349129,-0.010823611618393911,-0.03208422722491285,0.6047743832166873,-0.026037687886299014,-0.020723870706869874,-0.02734801032206372,-0.038884084182918804,0.277639713553989,-0.019130110102006066,-0.08219980181829131
Bobby Portis,-0.011915493345933956,1.0,-0.24906181924854556,0.19645510526688825,0.15368111420277125,-0.15835378333719693,0.0962199986931156,0.010014250847802513,-0.15524827992850795,-0.10871026420450483,-0.06502291919454257,-0.5088258054244442,-0.43006875823178653,-0.12638527214226947,-0.3656610229527039,-0.02074421977174161,-0.04251564354360373,0.3130541442172026,0.1847073149572512,,0.12016516108666993,-0.037349882410747104,,0.05431130305907532,0.1606544388234181,0.14365206891057233,0.45774278711938277,-0.07589502943115307,-0.0031584844369805538,-0.05912194473550223,-0.4468901411494196,0.13550525784131057,0.0950765369155732,0.0769062141311981,,-0.05938824897828606,-0.2658767898377234,0.008618080338215522,0.16909813672911045,-0.0643156131002506,-0.42257883773246513,0.08307252433667302,0.20829528980463938,0.04715394334941676,0.038268854383141565,0.1642443445272101,0.15610417803075208,-0.3413163119698451,0.0005802143143343026,0.08955560803438312,-0.3376862218973818
Brook Lopez,-0.06817582296113474,-0.24906181924854556,1.0,0.25040703268533615,0.12624249804158,-0.02533310763192864,-0.07216814485562294,-0.25325066961652354,0.22798991959775342,-0.06911352428633337,-0.04974757221576168,0.16781732608840683,0.06600347946025198,0.07185260161530126,-0.05579670717550626,-0.11698985593923751,-0.08578102415114307,-0.4426272146489104,-0.13606744046269997,,-0.17053646869513842,-0.015293911492582359,,0.07813120906414621,-0.11762122442307266,-0.3683226066483178,-0.11540537871833535,-0.05510435478927387,-0.18311878999114267,0.12639334391272128,0.13805344873023115,-0.07216814485562299,-0.1860401133163259,0.028415257650372467,,-0.06780828633670924,0.17166661849161727,0.21413080701620457,-0.12505367997937003,-0.06284861050007572,0.039079113766084986,0.055553217186531605,-0.33362224527003653,-0.010942821050788004,-0.24739232594343188,-0.21549355786083288,-0.15969319769122095,0.11385164582684006,-0.13807990558268507,0.09619643665416963,0.021820745499331527
Bryn Forbes,0.22825788157088794,0.19645510526688825,0.25040703268533615,1.0,0.47181616015304123,-0.04349576291147744,-0.033131624363645536,-0.11626467705886459,0.21240862189821122,-0.05912157379899432,0.02460015633550297,-0.2767225581352916,-0.2338909027082354,-0.06873404502088898,-0.3779597375299464,-0.0537087931121153,-0.08282125371479378,-0.28852752752526967,-0.06246710836965114,,-0.07829147101416306,0.16183524208396105,,0.2469039148579591,-0.13211262987388467,-0.03740280509204486,0.20540383549015792,0.014161152604139079,-0.08908245562665736,0.07006291572624168,-0.24303913391568727,-0.033131624363645536,-0.09386290629434456,-0.04602374596345206,,0.17257590894675706,-0.14459586099671395,0.29830344818739535,-0.021451931800130775,-0.03723779470344838,-0.22981754412715213,0.17693432362239245,-0.15316240886828958,0.3082611250039082,-0.12429767966889443,-0.09893079039393302,-0.13055284483927618,-0.18562329578157336,0.10860563144576857,0.33660558736991203,-0.39240214722110117
D.J. Augustin,-0.037446708702575,0.15368111420277125,0.12624249804158,0.47181616015304123,1.0,0.13337974680732484,-0.019909586364522155,-0.06986622821870125,0.21365451325156412,-0.03552756926850625,-0.03371521024570593,-0.1662892108680141,-0.14055064358556815,-0.04130393338118136,-0.22712505593059878,-0.032274899753277714,0.030440379097360123,-0.17338309962579596,-0.03753798109555436,,-0.0470472194980074,0.19479819962821013,,-0.07880760629665505,-0.07938964251944206,-0.058837461745860624,0.004331503092569254,-0.02765677091533195,-0.05353178052473532,0.07811955754395887,-0.1460480347580708,-0.019909586364522166,-0.05640446779128816,-0.027656770915332005,,-0.022398712737075752,-0.08689111499239976,-0.10253061072677468,-0.14300955680795027,-0.022377082437471982,-0.13810286488405848,-0.031049335736617903,-0.09203895872088584,0.11223972163019466,-0.07469345182462603,-0.05944988068920991,-0.07845233034555715,-0.11154548289173669,0.08008501588212098,0.4551025551530221,-0.23580384571469898
D.J. Wilson,-0.032196050164733925,-0.15835378333719693,-0.02533310763192864,-0.04349576291147744,0.13337974680732484,1.0,-0.017117927410992443,-0.060069807640941615,0.1657629417130086,0.3126159462661944,-0.028987770567688323,0.06276162305319084,0.1568648605451598,0.540757411929669,0.10437722275102758,-0.027749415837094192,-0.1081110456463222,-0.14907187217992615,-0.03227452463271345,,-0.04045040783423875,-0.017117927410992453,,-0.06775745408875494,-0.06825787904132917,-0.08797152944867268,-0.20017586229891243,-0.02377882635446019,-0.046025724313212835,-0.0846230443660309,0.2292002721674029,-0.01711792741099245,-0.04849561249687496,-0.02377882635446018,,-0.03612871289836687,0.08111259809743841,-0.08815409419821855,-0.05958000637926594,-0.019239439023053397,0.31348396608293183,-0.0266956965136185,-0.07913354830791164,0.02000193944007454,-0.0642201732874171,-0.05111400727257059,-0.06745199380291993,0.3676901915722111,0.13371962123362974,-0.011533648116660362,0.08943870892218203
DeAndre' Bembry,-0.006940362013552425,0.0962199986931156,-0.07216814485562294,-0.033131624363645536,-0.019909586364522155,-0.017117927410992443,1.0,-0.012948986256992851,-0.05515476044300148,-0.006584669273431707,-0.006248767183433143,-0.030819993595127722,-0.02604961508017773,-0.007655258904752259,-0.04209529128519387,-0.005981820458988901,0.004236409443811127,0.0832880847542635,-0.006957278412111006,,-0.008719717870018845,-0.0036900369003690014,,-0.014606178648824434,0.2817468680772718,0.005572824042825985,0.06156219912186902,-0.005125897813953734,-0.009921564509784285,0.00874104335484399,-0.027068499948546775,-0.0036900369003690005,0.09617668523596253,-0.005125897813953738,,-0.009518799833690476,-0.0161043737808391,-0.01900299333558,-0.07454336299980628,-0.0041473618991909435,-0.025595944493198495,-0.0057546747834113544,-0.01705847362840273,-0.01299804557686544,-0.013843662465029804,-0.011018423459395892,0.04116347483869562,-0.020673807099953114,0.10186236366679674,-0.010171056213880729,-0.016960423392203328
DeMarcus Cousins,-0.024354946781984355,0.010014250847802513,-0.25325066961652354,-0.11626467705886459,-0.06986622821870125,-0.060069807640941615,-0.012948986256992851,1.0,-0.13314040062832364,-0.023106758612626305,-0.02192801930336586,-0.1081527595195614,-0.09141266517943054,-0.026863645277218344,0.03238044378036489,-0.02099125645803166,-0.19020156162020282,0.07349402264443555,-0.02441430938955907,,0.31110497552599625,-0.012948986256992853,,-0.05125564098610949,-0.051634191243857305,0.22754447311263193,0.1997553776773314,-0.017987673874209555,-0.03481650887345255,-0.003344385688287961,-0.09498811076823997,-0.012948986256992857,-0.03668487455690623,-0.017987673874209544,,-0.033403137030200966,-0.05651307030146716,-0.06668483437646522,0.049016991403780956,-0.014553819835793222,-0.08982065557231556,-0.02019416246932527,0.19995307447193175,-0.04561242017004384,0.22443082205026388,0.18418347321087347,-0.05102457323191429,-0.07254801272861088,0.012699546888724324,-0.03569201899294632,0.1360995738179002
Donte DiVincenzo,-0.04608348406422657,-0.15524827992850795,0.22798991959775342,0.21240862189821122,0.21365451325156412,0.1657629417130086,-0.05515476044300148,-0.13314040062832364,1.0,0.06629281412216528,-0.09339994866497939,0.2523897562536225,0.20941420491461704,0.043833127672700735,-0.008665086900295365,-0.08940991197014471,-0.058631821217676953,-0.406621537616896,-0.005119842004127605,,-0.13033310051814273,0.015136179238039218,,-0.027764630951728025,-0.21993006959792982,-0.26026428000743423,-0.2378718452896798,-0.07661648748164329,-0.14829703022813018,0.17195585795384066,0.09607011030655443,-0.055154760443001494,-0.11749465032543127,-0.07661648748164329,,-0.07066230429394908,0.1629707558184213,-0.1616511749754646,-0.1538011246917846,-0.061990369797503546,0.1715753134890979,0.042397110695582434,-0.20207408785020237,0.11427545940839959,-0.1873503914436226,-0.1105100400589941,-0.21733346977589374,0.16919029957614337,-0.08734299217191456,0.1401318104612504,-0.0323696182356573
Dragan Bender,-0.012384696882722573,-0.10871026420450483,-0.06911352428633337,-0.05912157379899432,-0.03552756926850625,0.3126159462661944,-0.006584669273431707,-0.023106758612626305,0.06629281412216528,1.0,-0.01115058368805637,0.01578945246255842,0.15815081095144032,0.09697860943471495,0.10623019358222126,-0.010674231840757623,0.01965122249954519,-0.057342746741977715,-0.012414883271859953,,-0.015559860207892467,-0.006584669273431707,,-0.026063927908566688,-0.026256423923402997,-0.048434236352686975,-0.11321288717496279,-0.009146884637093122,-0.017704489883397675,0.004635039154059593,0.14795884431671685,-0.006584669273431707,-0.018654569670587814,-0.009146884637093117,,-0.01698577832069395,-0.028737375279891068,-0.03390980353272571,-0.06519371143224349,-0.007400740751582483,0.17546814660462628,-0.01026890279095361,-0.03043991433835153,-0.023194302288980357,-0.024703259432480466,-0.0196617747609754,-0.02594642799691849,-0.01948047317177338,-0.011181978668933792,-0.01814969420039939,0.21293432936693782
