Starters,Alec Burks,Allonzo Trier,Austin Rivers,Bobby Portis,Cam Reddish,Damyean Dotson,Danuel House Jr.,Dennis Smith Jr.,Derrick Rose,Elfrid Payton,Evan Fournier,Feron Hunt,Frank Ntilikina,Ignas Brazdeikis,Immanuel Quickley,Jared Harper,Jericho Sims,Julius Randle,Kadeem Allen,Kemba Walker,Kevin Knox,Marcus Morris,Matt Mooney,Maurice Harkless,Miles McBride,Mitchell Robinson,Nerlens Noel,Norvel Pelle,Obi Toppin,Omari Spellman,Quentin Grimes,RJ Barrett,Reggie Bullock,Ryan Arcidiacono,Taj Gibson,Theo Pinson,Tyler Hall,Wayne Ellington,Wayne Selden
Alec Burks,1.0,-0.2322464466722734,-0.1127149024925581,-0.4789369977091791,0.10392611862620538,-0.3530667526980418,,-0.2766420256497729,0.05709825016607513,-0.2995337218348917,0.25907408322879555,,-0.32445154672773113,-0.10134784454606438,0.3843846985291601,-0.08209084417758951,0.25270947462714605,-0.151677420420718,-0.15531615214393393,0.13538561561014953,-0.4367666903977437,-0.41048170493700853,,-0.17733167081437629,0.18465003704461294,-0.12754861117310498,0.16442816163909765,0.03449227450426285,0.3292185075504921,,0.08438161133787311,0.1671452328541128,-0.08265534949167584,0.06514095991247117,-0.16050783047820463,0.014476534221952128,,-0.2745379378395643,0.006081636799428372
Allonzo Trier,-0.2322464466722734,1.0,-0.05740576139066745,0.23540746946824326,-0.05642444786626756,0.28811093438344537,,0.2148276048914388,-0.14320416590343696,-0.008053791891785246,-0.1521321443527909,,0.0645816495303123,0.3983879381761839,-0.23817548473784034,-0.022815640816741492,-0.06872459873217275,-0.06131348299452014,0.09218300637293772,-0.08604820975400387,0.25282406720555617,0.13048696810837074,,0.17319926441793998,-0.06114535930376929,0.07216137058064696,-0.1628602773446071,-0.0349229190524945,-0.17797384528319823,,-0.08497100200766358,-0.0818897292281707,-0.16471847885127602,-0.03314223817727411,-0.015094810791803397,-0.01697537998850699,,0.15551077944651473,-0.016975379988506983
Austin Rivers,-0.1127149024925581,-0.05740576139066745,1.0,-0.11838175957306526,-0.05018059101185829,-0.09032563538589547,,-0.05983873468788971,-0.12455324650151729,0.26840882986980746,-0.13529739685921316,,-0.11628321409432858,-0.03387183467633139,0.04394152123358077,0.11805609506129922,-0.06111962299758629,0.028495470123798987,-0.038390434376259185,-0.07652622549718702,0.137727008160899,-0.10146125009223436,,-0.043832143516681875,-0.0543790924594924,0.09097613945571015,0.01975068660649252,-0.031058393731507625,-0.09086182515129351,,-0.07556822017506094,0.01606415673560421,0.03630666600695879,-0.02947476071246845,-0.19092204650574007,0.5363322998320827,,-0.06785920550398433,-0.01509690626469396
Bobby Portis,-0.4789369977091791,0.23540746946824326,-0.11838175957306526,1.0,-0.11635810168756613,0.4226543180961647,,0.3749365394796759,-0.29531462917932944,0.1474657049471601,-0.3137258438842832,,0.5298288474600926,0.08158001202212517,-0.4911638185329797,-0.04705025489152386,-0.1417233867607947,-0.09941956106896199,0.18203634974838556,-0.17744801622729126,0.4243337503400247,0.4905564676398613,,0.2786957148372084,-0.1260935322300991,0.3029736145718407,-0.33584932469419926,-0.07201779937604195,-0.3670164187742081,,-0.17522660594810927,-0.18869646546116073,-0.06354116549120271,-0.06834569173144292,0.17829126065736745,-0.0350065098655334,,0.42680717410761376,-0.03500650986553341
Cam Reddish,0.10392611862620538,-0.05642444786626756,-0.05018059101185829,-0.11635810168756613,1.0,-0.08878157838783585,,-0.07163077169720568,-0.12518028689648059,-0.16927902916550636,0.22358945421210294,,-0.11429542945586862,-0.03329281806442857,0.12850664757685518,-0.019944031971057413,0.11156752929262712,0.02188563439711255,-0.03773417529096228,0.07278820682906635,-0.1439623367025942,-0.09972683712555569,,-0.04308286201262438,0.059402285475525944,0.07212777821269739,-0.12280717041745906,-0.03052747103182501,-0.0038534764657640595,,0.17548827205962236,0.06910865615680559,-0.16130504706458315,0.1993540789787229,-0.04867119617177744,-0.014838834636772796,,-0.06669919726608431,-0.01483883463677281
Damyean Dotson,-0.3530667526980418,0.28811093438344537,-0.09032563538589547,0.4226543180961647,-0.08878157838783585,1.0,,0.4590189619363356,-0.22532594223613886,0.07438423735213871,-0.23465993231398805,,0.2736129251927396,0.2872635742665963,-0.37475945743289985,-0.03589948471345553,-0.08817191422212277,-0.04919507171673036,0.17377568472310267,-0.09711689005349433,0.29527295585231855,0.4669905396617071,,-0.016659350934860824,-0.09620974090781255,0.10894830646982295,-0.2562540357258682,-0.05494979556981504,-0.27837228380185836,,-0.1336984225936274,-0.30366244691381067,-0.06204833825409781,-0.05214796649243002,0.15510786736502866,-0.02671007136277054,,0.08977953804818538,-0.026710071362770534
Danuel House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Smith Jr.,-0.2766420256497729,0.2148276048914388,-0.05983873468788971,0.3749365394796759,-0.07163077169720568,0.4590189619363356,,1.0,-0.18179752397808288,-0.004830584194891038,-0.19313158235538366,,0.22536274820025404,0.03344558258500611,-0.2953876625660048,-0.0289644297865872,-0.08724579908046126,-0.029686207554630684,0.03578827635683232,-0.10923810335638544,0.2625754051558632,0.3628475487701504,,0.15028225409024398,-0.07762396333966355,0.1474557325463767,-0.1930158865677573,-0.04433460558760281,-0.22260168029054075,,-0.1078705893608309,-0.22138967926627287,-0.09530430585480165,-0.042074033263690934,0.10250984633089763,-0.02155022537946712,,0.1765727450631127,-0.02155022537946713
Derrick Rose,0.05709825016607513,-0.14320416590343696,-0.12455324650151729,-0.29531462917932944,-0.12518028689648059,-0.22532594223613886,,-0.18179752397808288,1.0,-0.05707771207219097,-0.10572236905353599,,-0.19619478123094275,-0.08449653336070383,0.14133327729428355,0.006592815953257536,-0.13892873641853257,0.17652932935398144,-0.09576861277231637,0.017855865177755264,-0.2353703408291601,-0.2531047988737335,,-0.10934347703097638,-0.07954226884140264,-0.41640949453205234,0.45624376780799103,0.21081877288655815,0.15566655220557166,,-0.06997031155819856,-0.07144867120057226,0.31029434128334055,-0.07352761152852909,0.021322215803437634,-0.037660677551945826,,-0.16928128270846032,-0.03766067755194582
Elfrid Payton,-0.2995337218348917,-0.008053791891785246,0.26840882986980746,0.1474657049471601,-0.16927902916550636,0.07438423735213871,,-0.004830584194891038,-0.05707771207219097,1.0,-0.45641176253853954,,0.09219777050596768,0.0012922319817356938,-0.21203607324186302,0.09183132464634375,-0.20618072117859698,0.19456915500431107,-0.023546573864202294,-0.25815329984461877,0.22616451341663038,0.0576463360595601,,0.14683492209258345,-0.1834422391770728,-0.004013664498171694,0.13930143681832655,0.09005220428470925,-0.2780677563318,,-0.25492156806157623,-0.11083497596483809,0.41290207371382204,-0.09943005408432114,0.00809580801750794,-0.008838717851347776,,0.10681299573790028,-0.050927850476813454
